,stockCode,securityAbbr,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye,opDate
0,000001,平安银行,67509258,3568650256,29700,876908,8032477,3576682733,2017-01-03
1,000002,万 科Ａ,83015991,2302578467,90836,786755,16309431,2318887898,2017-01-03
2,000006,深振业Ａ,77960220,1537562412,214000,334010,3229877,1540792289,2017-01-03
3,000009,中国宝安,67539347,2921259423,45300,417305,4365010,2925624433,2017-01-03
4,000012,南 玻Ａ,52880355,1461755667,0,62300,710220,1462465887,2017-01-03
5,000022,深赤湾Ａ,18424391,104967762,50900,70200,1356966,106324728,2017-01-03
6,000027,深圳能源,5730941,544038802,0,20923,144787,544183589,2017-01-03
7,000028,国药一致,6222267,144846554,0,4600,310040,145156594,2017-01-03
8,000030,富奥股份,4552038,19004811,0,0,0,19004811,2017-01-03
9,000031,中粮地产,16664690,1007968699,20000,25000,225500,1008194199,2017-01-03
10,000039,中集集团,9503165,1013452135,0,105835,1566358,1015018493,2017-01-03
11,000043,中航地产,75972764,584704845,0,0,0,584704845,2017-01-03
12,000046,泛海控股,5848086,563372755,5000,86600,811442,564184197,2017-01-03
13,000049,德赛电池,37156924,481277971,10200,13248,535087,481813058,2017-01-03
14,000050,深天马Ａ,0,1025656111,0,3000,56460,1025712571,2017-01-03
15,000060,中金岭南,42514027,1571703768,500,298000,3364420,1575068188,2017-01-03
16,000061,农 产 品,13645516,1105704193,10000,28700,361620,1106065813,2017-01-03
17,000062,深圳华强,28990511,813023195,400,1600,45264,813068459,2017-01-03
18,000063,中兴通讯,65244811,2633055236,16400,206990,3353238,2636408474,2017-01-03
19,000069,华侨城Ａ,60435360,1397391017,34700,549341,3828906,1401219923,2017-01-03
20,000078,海王生物,15911950,943262363,0,54350,344579,943606942,2017-01-03
21,000088,盐 田 港,5366018,356676949,60700,75600,545832,357222781,2017-01-03
22,000089,深圳机场,3910242,426749507,700,35000,288400,427037907,2017-01-03
23,000099,中信海直,57573558,620597187,0,0,0,620597187,2017-01-03
24,000100,TCL 集团,61318117,1598271097,1468500,1528700,5243441,1603514538,2017-01-03
25,000151,中成股份,51294701,732845890,58500,73447,1455720,734301610,2017-01-03
26,000156,华数传媒,14134021,979303833,0,5600,101024,979404857,2017-01-03
27,000157,中联重科,31204346,1053434911,0,175200,795408,1054230319,2017-01-03
28,000166,申万宏源,0,111426149,0,16500,103125,111529274,2017-01-03
29,000333,美的集团,124415578,1830193479,243100,466800,13593216,1843786695,2017-01-03
30,000338,潍柴动力,19725249,1103449553,43460,4177848,41653144,1145102697,2017-01-03
31,000400,许继电气,27745613,648268286,54500,137149,2545485,650813771,2017-01-03
32,000401,冀东水泥,9442859,364501416,2200,140400,1718496,366219912,2017-01-03
33,000402,金 融 街,9806423,1124615655,1000,144000,1509120,1126124775,2017-01-03
34,000404,华意压缩,12343624,84133010,0,0,0,84133010,2017-01-03
35,000410,沈阳机床,7589975,952175244,0,0,0,952175244,2017-01-03
36,000413,东旭光电,122635213,3560397267,368600,890300,10149420,3570546687,2017-01-03
37,000415,渤海金控,15394341,890152303,0,88600,643236,890795539,2017-01-03
38,000417,合肥百货,13932800,644055404,0,0,0,644055404,2017-01-03
39,000418,小天鹅Ａ,1531079,31117519,0,0,0,31117519,2017-01-03
40,000422,湖北宜化,20801111,474540133,35000,95500,778325,475318458,2017-01-03
41,000423,东阿阿胶,21515429,1517724143,2900,36600,1992870,1519717013,2017-01-03
42,000425,徐工机械,41782362,984276578,240000,1200000,4068000,988344578,2017-01-03
43,000426,兴业矿业,8656810,661436936,0,100,885,661437821,2017-01-03
44,000488,晨鸣纸业,53679188,393760675,50000,130000,1392300,395152975,2017-01-03
45,000501,鄂武商Ａ,13972081,503095493,0,0,0,503095493,2017-01-03
46,000503,海虹控股,31016013,3428405200,12200,157600,6634960,3435040160,2017-01-03
47,000506,中润资源,183304675,906334417,1000,10100,111504,906445921,2017-01-03
48,000513,丽珠集团,7361762,207254406,0,6607,395099,207649505,2017-01-03
49,000516,国际医学,0,1240503728,0,0,0,1240503728,2017-01-03
50,000525,红 太 阳,12623304,384608832,0,0,0,384608832,2017-01-03
51,000528,柳 工,16425951,413203251,0,2100,15540,413218791,2017-01-03
52,000536,华映科技,15792521,580670631,0,0,0,580670631,2017-01-03
53,000537,广宇发展,18329694,574353968,0,0,0,574353968,2017-01-03
54,000538,云南白药,182813970,954629227,89850,111637,8224298,962853525,2017-01-03
55,000539,粤电力Ａ,2978184,349804268,0,4700,25333,349829601,2017-01-03
56,000540,中天城投,85511670,1077285231,15000,72401,510427,1077795658,2017-01-03
57,000541,佛山照明,14646035,701780151,22700,30000,295800,702075951,2017-01-03
58,000543,皖能电力,14585400,1029121243,0,50000,383000,1029504243,2017-01-03
59,000550,江铃汽车,6933197,112779343,0,0,0,112779343,2017-01-03
60,000551,创元科技,18018116,581860952,0,0,0,581860952,2017-01-03
61,000552,靖远煤电,2805086,397340596,0,0,0,397340596,2017-01-03
62,000554,泰山石油,56975219,636154032,35000,35000,400750,636554782,2017-01-03
63,000559,万向钱潮,22343123,1666773844,1400,144080,1922027,1668695871,2017-01-03
64,000563,陕国投Ａ,0,577404984,0,1800,13464,577418448,2017-01-03
65,000566,海南海药,7590777,1212361909,0,67300,856729,1213218638,2017-01-03
66,000568,泸州老窖,8489341,583063303,0,109017,3619365,586682668,2017-01-03
67,000572,海马汽车,27506406,608845522,0,0,0,608845522,2017-01-03
68,000581,威孚高科,7231688,665364935,2500,48800,1099952,666464887,2017-01-03
69,000592,平潭发展,13647750,1175211917,0,19900,136116,1175348033,2017-01-03
70,000596,古井贡酒,9253464,162527928,4800,11300,516636,163044564,2017-01-03
71,000598,兴蓉环境,15914908,964033447,0,101100,589413,964622860,2017-01-03
72,000600,建投能源,8486071,65192773,0,0,0,65192773,2017-01-03
73,000607,华媒控股,44841170,466238842,20000,20000,234200,466473042,2017-01-03
74,000616,海航投资,7774972,1026485047,0,7700,40656,1026525703,2017-01-03
75,000623,吉林敖东,132967186,2487106196,6700,586768,18254352,2505360548,2017-01-03
76,000625,长安汽车,52197383,1898379818,3000,33700,508870,1898888688,2017-01-03
77,000630,铜陵有色,34735786,1130067841,64900,676200,2136792,1132204633,2017-01-03
78,000631,顺发恒业,7344205,328987775,0,1836,8923,328996698,2017-01-03
79,000650,仁和药业,13739248,765631459,0,18400,130272,765761731,2017-01-03
80,000651,格力电器,201230237,5508423064,31900,301114,7545917,5515968981,2017-01-03
81,000655,金岭矿业,27703768,384621175,0,1400,13790,384634965,2017-01-03
82,000656,金科股份,19739768,250900569,0,50000,262000,251162569,2017-01-03
83,000661,长春高新,107300940,1218063490,4400,5704,644552,1218708042,2017-01-03
84,000665,湖北广电,5644748,39765492,0,0,0,39765492,2017-01-03
85,000667,美好置业,3645498,584159118,44800,70800,264084,584423202,2017-01-03
86,000671,阳 光 城,13771312,594621262,200,1500,8370,594629632,2017-01-03
87,000680,山推股份,14587956,605961243,14000,19000,106210,606067453,2017-01-03
88,000685,中山公用,23789953,572382652,26400,72000,802800,573185452,2017-01-03
89,000686,东北证券,64430183,2465427609,0,17700,221781,2465649390,2017-01-03
90,000690,宝新能源,0,736455764,0,75200,697104,737152868,2017-01-03
91,000697,炼石有色,0,1492426349,0,14488,340613,1492766962,2017-01-03
92,000700,模塑科技,4528697,41551390,0,0,0,41551390,2017-01-03
93,000709,河钢股份,40348278,907148844,65400,2683300,8935389,916084233,2017-01-03
94,000712,锦龙股份,85532074,2040678228,4600,58600,1382960,2042061188,2017-01-03
95,000718,苏宁环球,25658919,965226367,200,33250,285617,965511984,2017-01-03
96,000719,大地传媒,11438252,141689570,0,5600,65744,141755314,2017-01-03
97,000725,京东方Ａ,579077510,4063085805,1158500,3340800,10356480,4073442285,2017-01-03
98,000726,鲁 泰Ａ,27782604,120293691,0,0,0,120293691,2017-01-03
99,000728,国元证券,127901432,3479078482,193400,1042218,21261247,3500339729,2017-01-03
100,000729,燕京啤酒,4259566,506245275,0,19200,134784,506380059,2017-01-03
101,000731,四川美丰,56798069,994734322,215000,309974,3195832,997930154,2017-01-03
102,000732,泰禾集团,9937222,520357077,12400,32900,585620,520942697,2017-01-03
103,000738,中航动控,84355804,1133343741,187300,353290,9005362,1142349103,2017-01-03
104,000739,普洛药业,1021328,332687725,0,0,0,332687725,2017-01-03
105,000750,国海证券,0,2355006044,0,4850,33805,2355039849,2017-01-03
106,000758,中色股份,20216213,944802792,0,20000,161800,944964592,2017-01-03
107,000761,本钢板材,3914233,226615720,0,0,0,226615720,2017-01-03
108,000762,西藏矿业,14073263,1078777697,0,13000,223080,1079000777,2017-01-03
109,000767,漳泽电力,8815831,27029465,0,0,0,27029465,2017-01-03
110,000768,中航飞机,126023553,1598174173,443167,843719,18679939,1616854112,2017-01-03
111,000776,广发证券,58572833,2703008166,4000,123008,2104667,2705112833,2017-01-03
112,000777,中核科技,30245325,811247474,57000,65000,1469000,812716474,2017-01-03
113,000778,新兴铸管,53845330,1069406633,19800,209500,1091495,1070498128,2017-01-03
114,000780,平庄能源,10755821,396746668,0,0,0,396746668,2017-01-03
115,000783,长江证券,40621688,2612642083,173600,889400,9223078,2621865161,2017-01-03
116,000786,北新建材,15252830,428220923,25400,54400,566304,428787227,2017-01-03
117,000788,北大医药,9371282,399220187,0,0,0,399220187,2017-01-03
118,000789,万年青,21365096,264682978,0,600,4854,264687832,2017-01-03
119,000790,泰合健康,6413044,846392944,0,34,453,846393397,2017-01-03
120,000792,盐湖股份,57105853,1054962508,36900,44800,878976,1055841484,2017-01-03
121,000793,华闻传媒,39481394,2079510882,0,164700,1870992,2081381874,2017-01-03
122,000800,一汽轿车,18056377,950009988,64200,241400,2648158,952658146,2017-01-03
123,000801,四川九洲,16982186,497673025,0,36000,390600,498063625,2017-01-03
124,000807,云铝股份,18402482,595957564,0,4800,32352,595989916,2017-01-03
125,000811,烟台冰轮,18605332,462522118,2700,2700,40446,462562564,2017-01-03
126,000812,陕西金叶,59159123,534422947,15000,47565,579817,535002764,2017-01-03
127,000816,智慧农业,20414893,743322775,0,500,3245,743326020,2017-01-03
128,000823,超声电子,25344680,814857056,0,0,0,814857056,2017-01-03
129,000825,太钢不锈,5784780,687554860,0,46900,186662,687741522,2017-01-03
130,000826,启迪桑德,13756336,1431211076,2100,79635,2622381,1433833457,2017-01-03
131,000828,东莞控股,13622675,134313615,0,20000,253600,134567215,2017-01-03
132,000829,天音控股,0,623424126,0,0,0,623424126,2017-01-03
133,000830,鲁西化工,21264710,589908808,0,500,2820,589911628,2017-01-03
134,000839,中信国安,68248056,3354179319,79200,379785,3516809,3357696128,2017-01-03
135,000848,承德露露,8115467,372443310,0,90500,1023555,373466865,2017-01-03
136,000851,高鸿股份,16967617,1035122072,0,11500,138000,1035260072,2017-01-03
137,000858,五 粮 液,59713311,1738526369,12400,181500,6290790,1744817159,2017-01-03
138,000860,顺鑫农业,100412783,583395218,0,8498,184577,583579795,2017-01-03
139,000868,安凯客车,9089481,451659774,0,0,0,451659774,2017-01-03
140,000869,张 裕Ａ,4928513,216051069,0,12200,443226,216494295,2017-01-03
141,000876,新 希 望,13851045,952093919,0,278870,2264424,954358343,2017-01-03
142,000877,天山股份,13510017,518440142,0,0,0,518440142,2017-01-03
143,000878,云南铜业,54041496,922405711,102500,119000,1432760,923838471,2017-01-03
144,000883,湖北能源,10476381,521699587,0,415700,1924691,523624278,2017-01-03
145,000887,中鼎股份,0,2408173526,0,39200,1016848,2409190374,2017-01-03
146,000895,双汇发展,12858366,686735408,24200,111409,2344045,689079453,2017-01-03
147,000897,津滨发展,11993299,424381074,0,0,0,424381074,2017-01-03
148,000898,鞍钢股份,22195307,315082264,24600,57000,288990,315371254,2017-01-03
149,000899,赣能股份,6375296,30725813,0,0,0,30725813,2017-01-03
150,000900,现代投资,9758668,49729875,0,0,0,49729875,2017-01-03
151,000901,航天科技,86290024,752038861,8300,9097,321215,752360076,2017-01-03
152,000902,新洋丰,15359200,88453440,0,0,0,88453440,2017-01-03
153,000905,厦门港务,10344392,374372351,0,0,0,374372351,2017-01-03
154,000915,山大华特,10888463,484960845,0,1000,43790,485004635,2017-01-03
155,000917,电广传媒,40184149,2568134752,0,123777,1787340,2569922092,2017-01-03
156,000921,海信科龙,9411830,279069730,0,0,0,279069730,2017-01-03
157,000926,福星股份,15138157,897784098,0,86,1092,897785190,2017-01-03
158,000928,中钢国际,29459358,94845600,0,0,0,94845600,2017-01-03
159,000930,中粮生化,101247128,1048404736,93700,203302,2787270,1051192006,2017-01-03
160,000937,冀中能源,28518571,571701860,31400,96500,653305,572355165,2017-01-03
161,000938,紫光股份,7165046,1278314767,2100,8112,466764,1278781531,2017-01-03
162,000939,凯迪生态,113401229,1261891946,0,85000,1091400,1262983346,2017-01-03
163,000957,中通客车,13439054,175856083,0,0,0,175856083,2017-01-03
164,000960,锡业股份,39338166,1584321224,9100,23800,319158,1584640382,2017-01-03
165,000961,中南建设,51622626,819789750,37700,144250,1543475,821333225,2017-01-03
166,000963,华东医药,9034974,371942100,300,25768,1868438,373810538,2017-01-03
167,000966,长源电力,4273421,38752874,0,0,0,38752874,2017-01-03
168,000969,安泰科技,17135380,862937495,0,20300,215789,863153284,2017-01-03
169,000970,中科三环,19513713,1732446350,7800,23300,315948,1732762298,2017-01-03
170,000973,佛塑科技,7041067,813208419,0,0,0,813208419,2017-01-03
171,000975,银泰资源,27037502,440699779,0,59700,925350,441625129,2017-01-03
172,000977,浪潮信息,44967711,1655723372,32900,55196,1172363,1656895735,2017-01-03
173,000979,中弘股份,16850820,766704075,0,26600,70490,766774565,2017-01-03
174,000983,西山煤电,33723076,922450139,53800,111200,952984,923403123,2017-01-03
175,000988,华工科技,23779267,1334241239,0,39676,625294,1334866533,2017-01-03
176,000989,九 芝 堂,1764691,721486642,0,3105,67627,721554269,2017-01-03
177,000996,中国中期,53374346,944213481,36000,46000,1122400,945335881,2017-01-03
178,000997,新 大 陆,195224534,1372321327,132700,160000,3272000,1375593327,2017-01-03
179,000998,隆平高科,53314879,773492010,82108,222208,4861911,778353921,2017-01-03
180,000999,华润三九,16555657,390897870,1500,41753,1042572,391940442,2017-01-03
181,001896,豫能控股,36017595,185505206,0,0,0,185505206,2017-01-03
182,001979,招商蛇口,49858950,589643639,0,5900,98235,589741874,2017-01-03
183,002001,新 和 成,21275474,1020384993,4200,6500,129805,1020514798,2017-01-03
184,002004,华邦健康,11577424,840603295,0,11400,104538,840707833,2017-01-03
185,002005,德豪润达,6606031,839580989,0,0,0,839580989,2017-01-03
186,002007,华兰生物,24085926,937206715,0,105451,3775145,940981860,2017-01-03
187,002008,大族激光,18434966,1134193601,19400,100364,2254175,1136447776,2017-01-03
188,002011,盾安环境,7310835,693199309,0,0,0,693199309,2017-01-03
189,002016,世荣兆业,3940620,359574049,0,0,0,359574049,2017-01-03
190,002022,科华生物,26637819,1061004566,0,309,6242,1061010808,2017-01-03
191,002023,海特高新,24359125,612712748,14200,18525,262314,612975062,2017-01-03
192,002024,苏宁云商,174700711,3789313561,488501,1233501,14542977,3803856538,2017-01-03
193,002025,航天电器,0,774262802,0,6800,171360,774434162,2017-01-03
194,002028,思源电气,25966245,499984244,20000,25720,353650,500337894,2017-01-03
195,002029,七 匹 狼,22731828,630476099,0,100,1035,630477134,2017-01-03
196,002030,达安基因,12990598,1182387780,800,841,19520,1182407300,2017-01-03
197,002032,苏 泊 尔,648556,8747474,0,0,0,8747474,2017-01-03
198,002038,双鹭药业,18773287,1198892451,0,9550,261479,1199153930,2017-01-03
199,002041,登海种业,57109518,300157031,47650,81665,1590018,301747049,2017-01-03
200,002042,华孚色纺,30967447,84858400,0,0,0,84858400,2017-01-03
201,002048,宁波华翔,9232536,673710083,6000,8000,178240,673888323,2017-01-03
202,002049,紫光国芯,27196327,1149446724,3500,13000,430690,1149877414,2017-01-03
203,002050,三花智控,13033410,708248738,0,190600,2100412,710349150,2017-01-03
204,002051,中工国际,12213240,551040598,0,122168,2840406,553881004,2017-01-03
205,002055,得润电子,13717440,822878243,0,400,9540,822887783,2017-01-03
206,002056,横店东磁,10008317,599999112,0,18500,259185,600258297,2017-01-03
207,002063,远光软件,17636958,898731310,0,8800,117304,898848614,2017-01-03
208,002064,华峰氨纶,36879980,379303472,8100,8100,44388,379347860,2017-01-03
209,002065,东华软件,86265288,2768771434,30408,62632,1442415,2770213849,2017-01-03
210,002067,景兴纸业,11995972,952682544,0,800,5360,952687904,2017-01-03
211,002070,众和股份,14777492,1651038836,0,0,0,1651038836,2017-01-03
212,002073,软控股份,14768314,506076965,0,135365,1535039,507612004,2017-01-03
