,title,type,date,url
0,鞍钢股份：关于召开2016年度股东大会的提示性公告,临时公告,2017-05-10,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3390349
1,鞍钢股份：关于2016年度股东大会增加临时提案的公告,临时公告,2017-05-06,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3382600
2,鞍钢股份：关于2016年度股东大会补充通知的公告,更正或补充,2017-05-06,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3382599
3,鞍钢股份：第七届董事会第十三次会议决议公告,临时公告,2017-05-06,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3382598
4,鞍钢股份：第七届第十三次董事会独立董事意见,临时公告,2017-05-06,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3382597
5,鞍钢股份：2017年第一季度报告正文,一季度报告（摘要）,2017-04-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3365638
6,鞍钢股份：2017年第一季度报告全文,一季度报告,2017-04-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3365636
7,鞍钢股份：2017年第一季度业绩预告,临时公告,2017-04-14,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3223130
8,鞍钢股份：关于2016年度利润分配预案的独立董事意见,临时公告,2017-03-31,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3169540
9,鞍钢股份：2016年度监事会工作报告,临时公告,2017-03-31,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3169539
10,鞍钢股份：2016年度董事会工作报告,临时公告,2017-03-31,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3169538
11,鞍钢股份：独立董事2016年度报告书（马卫国）,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158998
12,鞍钢股份：预计2017年度日常关联交易上限的公告,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158994
13,鞍钢股份：独立董事2016年度报告书（罗玉成）,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158993
14,鞍钢股份：内部控制审计报告,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158991
15,鞍钢股份：第七届监事会第四次会议决议公告,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158990
16,鞍钢股份：关于召开2016年度股东大会的通知,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158989
17,鞍钢股份：第七届董事会第十次会议决议公告,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158988
18,鞍钢股份：关于公司在鞍钢集团财务有限公司存贷款业务情况的专项审核报告,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158974
19,鞍钢股份：第七届第十次董事会独立董事意见,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158973
20,鞍钢股份：关于公司非经营性资金占用及其他关联资金往来情况汇总表的专项审核报告,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158970
21,鞍钢股份：2016年年度审计报告,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158969
22,鞍钢股份：关于鞍钢集团财务有限责任公司风险评估报告,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158968
23,鞍钢股份：2016年年度报告摘要,年度报告（摘要）,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158967
24,鞍钢股份：关于2017年开展商品期货套期保值业务的公告,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158964
25,鞍钢股份：2016年年度报告,年度报告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158963
26,鞍钢股份：公司章程（2017年3月）,公司章程,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158961
27,鞍钢股份：2016年度社会责任报告,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158960
28,鞍钢股份：独立董事2016年度报告书（吴大军）,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158918
29,鞍钢股份：2016年度内部控制评价报告,临时公告,2017-03-29,http://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?CompanyCode=10001164&gather=1&id=3158916
