,code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
0,000151,中成股份,9.9828,19706.56,15726.80,3979.75,日涨幅偏离值达到7%的前五只证券,0.32,0.08,2017-05-11
1,000401,冀东水泥,7.5427,54419.07,30213.31,24205.76,日涨幅偏离值达到7%的前五只证券,0.13,0.10,2017-05-11
2,000516,国际医学,-10,14153.51,5451.43,8702.07,日跌幅偏离值达到7%的前五只证券,0.08,0.13,2017-05-11
3,000516,国际医学,-10,14232.50,5530.43,8702.07,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.08,0.12,2017-05-11
4,000525,红太阳,-10.0053,10217.88,2372.95,7844.93,日跌幅偏离值达到7%的前五只证券,0.12,0.38,2017-05-11
5,000582,北部湾港,-10.0048,1862.00,524.34,1337.66,日跌幅偏离值达到7%的前五只证券,0.17,0.43,2017-05-11
6,000605,渤海股份,4.0325,16493.32,6006.79,10486.53,日换手率达到20%的前五只证券,0.06,0.11,2017-05-11
7,000612,焦作万方,-10.0446,10177.30,2588.78,7588.52,日跌幅偏离值达到7%的前五只证券,0.18,0.52,2017-05-11
8,000615,京汉股份,2.5913,24998.67,9874.78,15123.89,日换手率达到20%的前五只证券,0.08,0.12,2017-05-11
9,000659,*ST中富,-4.9869,6240.03,2620.56,3619.47,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,0.18,0.25,2017-05-11
10,000702,正虹科技,-3.2598,20996.13,9695.94,11300.19,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.29,0.34,2017-05-11
11,000812,陕西金叶,-5.518,26637.59,4503.14,22134.45,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.09,0.44,2017-05-11
12,000852,石化机械,-9.9473,7366.52,2495.48,4871.03,日跌幅偏离值达到7%的前五只证券,0.05,0.10,2017-05-11
13,000856,冀东装备,9.3231,40207.41,17950.30,22257.11,日涨幅偏离值达到7%的前五只证券,0.06,0.08,2017-05-11
14,000856,冀东装备,9.3231,40207.41,17950.30,22257.11,日换手率达到20%的前五只证券,0.06,0.08,2017-05-11
15,002125,湘潭电化,-10.0274,6268.49,1463.19,4805.30,日跌幅偏离值达到7%的前五只证券,0.08,0.27,2017-05-11
16,002209,达意隆,-10.0196,4612.68,885.34,3727.34,日跌幅偏离值达到7%的前五只证券,0.15,0.63,2017-05-11
17,002259,升达林业,-9.9747,4953.12,1752.71,3200.41,日跌幅偏离值达到7%的前五只证券,0.13,0.25,2017-05-11
18,002282,博深工具,9.9945,13692.64,8920.94,4771.70,日涨幅偏离值达到7%的前五只证券,0.12,0.06,2017-05-11
19,002390,信邦制药,-10.0427,12100.34,6199.58,5900.76,日跌幅偏离值达到7%的前五只证券,0.23,0.21,2017-05-11
20,002659,中泰桥梁,10.0221,7100.86,4250.37,2850.50,日涨幅偏离值达到7%的前五只证券,0.46,0.31,2017-05-11
21,002729,好利来,10,5094.58,3268.66,1825.92,日振幅值达到15%的前五只证券,0.62,0.34,2017-05-11
22,002729,好利来,10,5094.58,3268.66,1825.92,日涨幅偏离值达到7%的前五只证券,0.62,0.34,2017-05-11
23,002797,第一创业,-9.9754,18623.20,4638.44,13984.76,日跌幅偏离值达到7%的前五只证券,0.33,1.00,2017-05-11
24,002836,新宏泽,-8.8884,7559.28,3704.75,3854.54,日换手率达到20%的前五只证券,0.05,0.06,2017-05-11
25,002839,张家港行,3.4031,24306.53,9304.12,15002.41,日换手率达到20%的前五只证券,0.05,0.08,2017-05-11
26,002858,力盛赛车,-4.2922,9002.74,3622.79,5379.95,日换手率达到20%的前五只证券,0.12,0.18,2017-05-11
27,002865,钧达股份,10.003,8726.51,4346.50,4380.02,日振幅值达到15%的前五只证券,0.07,0.07,2017-05-11
28,002865,钧达股份,10.003,8726.51,4346.50,4380.02,日涨幅偏离值达到7%的前五只证券,0.07,0.07,2017-05-11
29,002865,钧达股份,10.003,8726.51,4346.50,4380.02,日换手率达到20%的前五只证券,0.07,0.07,2017-05-11
30,002866,传艺科技,4.0439,6098.15,4099.81,1998.34,日换手率达到20%的前五只证券,0.12,0.06,2017-05-11
31,002868,绿康生化,10.0114,3020.85,2894.51,126.34,日涨幅偏离值达到7%的前五只证券,0.64,0.03,2017-05-11
32,002868,绿康生化,10.0114,3022.61,2894.51,128.10,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.62,0.03,2017-05-11
33,002871,伟隆股份,43.9896,15.72,10.18,5.54,无价格涨跌幅限制的证券,1.00,0.54,2017-05-11
34,300084,海默科技,-5.1836,8533.95,1167.19,7366.77,日振幅值达到15%的前五只证券,0.10,0.60,2017-05-11
35,300212,易华录,-9.5317,19105.45,7363.03,11742.41,日跌幅偏离值达到7%的前五只证券,0.15,0.24,2017-05-11
36,300334,津膜科技,10.0077,87363.69,46461.02,40902.67,日涨幅偏离值达到7%的前五只证券,0.18,0.16,2017-05-11
37,300334,津膜科技,10.0077,87363.69,46461.02,40902.67,日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,0.18,0.16,2017-05-11
38,300344,太空板业,-0.7035,18482.50,5654.43,12828.07,日换手率达到20%的前五只证券,0.06,0.14,2017-05-11
39,300374,恒通科技,10,4575.01,2640.72,1934.29,日涨幅偏离值达到7%的前五只证券,0.16,0.12,2017-05-11
40,300419,浩丰科技,-10.0071,12294.51,7043.53,5250.98,日跌幅偏离值达到7%的前五只证券,0.14,0.11,2017-05-11
41,300465,高伟达,-9.9917,5603.87,1120.95,4482.91,日跌幅偏离值达到7%的前五只证券,0.07,0.28,2017-05-11
42,300496,中科创达,-8.0234,8314.56,1733.45,6581.12,日跌幅偏离值达到7%的前五只证券,0.06,0.25,2017-05-11
43,300514,友讯达,9.9965,529.56,511.49,18.08,日涨幅偏离值达到7%的前五只证券,1.00,0.04,2017-05-11
44,300534,陇神戎发,1.7511,15191.08,4758.52,10432.56,日振幅值达到15%的前五只证券,0.05,0.12,2017-05-11
45,300534,陇神戎发,1.7511,28087.82,11769.69,16318.13,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.06,0.08,2017-05-11
46,300534,陇神戎发,1.7511,15191.08,4758.52,10432.56,日换手率达到20%的前五只证券,0.05,0.12,2017-05-11
47,300554,三超新材,0.1003,8204.14,5522.78,2681.36,日换手率达到20%的前五只证券,0.16,0.08,2017-05-11
48,300562,乐心医疗,7.2965,8615.03,5920.22,2694.80,日振幅值达到15%的前五只证券,0.15,0.07,2017-05-11
49,300604,长川科技,10.0041,15452.44,7004.20,8448.24,日涨幅偏离值达到7%的前五只证券,0.15,0.18,2017-05-11
50,300604,长川科技,10.0041,15452.44,7004.20,8448.24,日换手率达到20%的前五只证券,0.15,0.18,2017-05-11
51,300643,万通智控,9.9515,25.61,22.94,2.68,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.12,2017-05-11
52,300647,超频三,10.0096,91.29,84.13,7.16,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.09,2017-05-11
53,300648,星云股份,2.5506,8245.34,4390.57,3854.77,日换手率达到20%的前五只证券,0.07,0.06,2017-05-11
54,300648,星云股份,2.5506,8245.34,4390.57,3854.77,日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,0.07,0.06,2017-05-11
55,300649,杭州园林,9.9827,18.51,13.74,4.76,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.35,2017-05-11
56,300650,太龙照明,10.0155,182.58,169.76,12.81,日涨幅偏离值达到7%的前五只证券,1.00,0.08,2017-05-11
57,300650,太龙照明,10.0155,215.90,200.82,15.08,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.08,2017-05-11
58,300651,金陵体育,9.9954,20.43,14.57,5.86,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.40,2017-05-11
59,600151,航天机电,-7.7703,35484.69,10064.70,25419.99,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,0.12,0.30,2017-05-11
60,600469,风神股份,-10.0207,7638.75,3157.20,4481.55,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.26,0.37,2017-05-11
61,600469,风神股份,-10.0207,16368.05,5456.94,10911.11,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,0.17,0.34,2017-05-11
62,600602,云赛智联,-7.824,6508.65,1672.62,4836.04,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,0.06,0.16,2017-05-11
63,600712,南宁百货,-10.0427,4678.21,1823.23,2854.99,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.38,0.59,2017-05-11
64,600760,中航黑豹,5.2475,11091.46,6146.54,4944.92,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.14,0.11,2017-05-11
65,600828,茂业商业,-10.0119,11658.94,4471.67,7187.27,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.09,0.15,2017-05-11
66,601003,柳钢股份,-7.6596,19074.66,8299.20,10775.46,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,0.05,0.06,2017-05-11
67,601008,连云港,10.0536,16239.11,13383.31,2855.80,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.19,0.04,2017-05-11
68,603086,先达股份,43.9909,28.15,15.45,12.70,无价格涨跌幅限制的证券,1.00,0.82,2017-05-11
69,603113,金能科技,43.9791,65.63,55.05,10.59,无价格涨跌幅限制的证券,1.00,0.19,2017-05-11
70,603229,奥翔药业,10.0162,15.12,8.31,6.81,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,0.82,2017-05-11
71,603229,奥翔药业,10.0162,21.39,14.58,6.81,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.47,2017-05-11
72,603323,吴江银行,-9.4139,14324.52,4266.71,10057.81,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.04,0.09,2017-05-11
73,603505,金石资源,10.023,52.14,47.37,4.78,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,0.10,2017-05-11
74,603505,金石资源,10.023,76.27,71.50,4.78,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.07,2017-05-11
75,603603,博天环境,10.0052,22546.75,13280.23,9266.53,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.09,0.06,2017-05-11
76,603603,博天环境,10.0052,11327.54,8834.27,2493.27,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.11,0.03,2017-05-11
77,603728,鸣志电器,10.0056,67.96,58.17,9.79,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.17,2017-05-11
78,603903,中持股份,9.9927,12626.79,7127.42,5499.37,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.10,0.08,2017-05-11
79,603903,中持股份,9.9927,12626.79,7127.42,5499.37,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.10,0.08,2017-05-11
80,603906,龙蟠科技,7.7011,7576.67,3212.22,4364.44,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.06,0.08,2017-05-11
81,603985,恒润股份,10.0019,5854.96,5245.90,609.06,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.36,0.04,2017-05-11
